     review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
 RMDCHWD0Y5OZ9,3,0,1,N,N
 RZSL0BALIYUNU,5,0,0,N,Y
 RIZR67JKUDBI0,3,0,1,N,Y
R27HL570VNL85F,5,0,0,N,Y
R34EBU9QDWJ1GD,5,0,0,N,Y
R1WCUI4Z1SIQEO,5,0,0,N,N
 RL5LNO26GAVJ1,2,3,4,N,Y
R3GYQ5W8JHP8SB,5,0,0,N,Y
R30SHYQXGG5EYC,5,0,0,N,Y
R14YLXA56NP51I,5,1,1,N,N
R1ZH0HSH38IOTZ,5,0,0,N,Y
R3H53KLLC210XI,4,0,0,N,Y
R3OOR877NGA8JK,3,0,0,N,Y
R1BY7WKOZ3KMH0,2,0,0,N,Y
 RXP1TFSWE8EG9,5,0,0,N,Y
R3J44DPP12OTLJ,5,0,0,N,Y
 RFOV69SK0T676,5,0,0,N,Y
R2HUWDNW62FOL3,1,0,0,N,Y
R1KSU30XZGR452,5,0,0,N,Y
R2TZVLLTSHA07N,5,1,1,N,Y